53.234,60.042,62.848,41.176,87.7,48.14,48.596
53.864,61.141,63.151,42.151,88.433,49.798,49.192
54.379,61.71,63.034,42.646,88.6,49.92,49.544
54.808,62.085,63.151,43.578,88.967,50.164,49.987
55.524,62.162,63.314,44.256,89.033,50.513,50.094
55.982,62.615,63.151,44.708,89.233,51.176,49.987
56.64,63.003,62.824,44.962,88.8,51.229,50.354
57.212,63.416,62.568,45.499,88.767,51.892,50.629
57.756,64.179,62.988,46.149,88.3,52.52,51.195
58.586,64.735,63.174,46.686,89.367,53.323,51.868
59.216,65.123,63.151,47.166,89.233,53.445,52.464
59.616,65.42,63.174,47.943,89.433,54.021,52.907
60.132,65.731,63.594,48.522,88.967,54.248,53.228
60.904,66.377,63.897,49.03,89.6,55.354,53.901
61.563,66.972,63.967,49.511,89.733,55.762,54.619
62.049,67.385,64.246,50.386,90.4,56.461,55.185
62.822,67.954,65.132,51.361,89.9,56.985,55.796
63.91,68.782,65.738,52.195,92,58.266,56.713
64.825,69.247,65.762,52.675,92.2,58.645,57.172
65.283,69.803,66.181,53.579,92.767,59.547,57.722
66.228,70.253,66.904,54.681,93.1,60.275,58.716
66.857,70.886,67.254,55.373,94.3,62.168,59.312
67.516,71.408,67.557,56.122,94.567,63.041,60.336
68.517,72.151,68.186,57.181,96.033,64.235,61.315
70.492,72.647,68.806,58.147,96.567,64.497,61.819
71.007,73.197,69.472,58.985,97.567,67.38,62.186
71.437,73.72,70.606,59.673,97.567,67.904,62.675
71.322,74.298,71.939,60.511,98.767,68.749,63.149
71.608,74.683,72.873,61.46,98.4,69.011,63.592
71.981,75.261,73.706,62.223,99.733,70.263,64.112
72.295,75.316,74.106,62.689,99.333,70.146,64.617
72.61,75.674,74.34,63.452,99.667,70.554,65.075
73.125,76.252,76.273,64.271,99.667,70.641,65.626
73.268,76.747,76.94,65.052,100.63,71.981,66.13
73.555,76.939,77.473,65.704,101.07,72.097,66.39
73.927,77.242,77.54,66.355,100.8,72.272,66.848
73.526,77.572,78.54,67.081,100.93,72.359,67.276
73.268,78.04,79.073,67.695,101.33,73.408,67.704
73.669,78.178,79.473,68.217,101.07,73.349,68.301
73.898,78.508,79.44,68.98,101.6,73.553,68.622
74.642,78.921,80.173,70.003,101.07,74.165,69.187
75.243,79.334,80.44,71.306,101.3,75.213,69.799
75.386,79.581,80.707,72.07,101.07,75.359,70.104
75.415,80.049,80.607,72.833,101,75.708,70.441
75.73,80.599,81.34,73.627,100.73,76.145,71.083
76.331,81.232,81.607,74.438,101.43,77.077,71.786
76.445,81.04,81.807,74.629,101.27,77.106,72.168
76.903,81.37,81.84,74.987,101.53,77.572,72.688
77.333,81.783,82.774,75.464,101.3,77.572,73.177
77.562,81.948,82.874,75.845,103.53,78.27,73.468
77.762,82.058,83.707,75.988,103.5,78.562,73.758
77.705,82.305,83.574,76.465,103.77,78.969,74.048
78.134,82.36,83.807,76.99,103.37,78.824,74.247
78.334,82.746,84.007,77.396,103.87,79.726,74.645
78.42,82.553,84.207,77.539,103.3,79.668,74.935
78.563,82.526,83.94,77.777,104.3,80.134,75.195
78.735,82.581,83.974,78.063,103.27,80.047,75.485
79.594,83.048,84.44,78.516,103.6,80.862,76.219
80.137,82.993,84.774,78.874,103.3,80.658,76.693
80.424,83.351,84.74,79.399,103.3,81.037,77.167
80.824,83.819,85.274,79.9,102.67,80.687,77.931
81.54,84.287,85.374,80.472,102.9,81.357,78.757
82.313,84.562,85.941,80.949,102.67,81.299,79.383
82.885,84.92,86.207,81.522,102.53,81.794,79.811
83.057,84.892,86.741,82.213,102.17,81.357,80.576
84.459,85.993,87.541,82.929,102.07,82.58,81.417
84.545,86.075,87.674,83.215,101.8,82.551,81.524
83.772,86.13,87.641,83.477,101.43,82.667,81.294
84.345,86.708,88.474,84.193,100.73,82.638,81.585
85.604,87.396,88.674,84.813,101.17,83.366,82.471
86.52,87.589,88.741,85.219,101,83.395,82.823
86.949,87.974,88.674,85.791,100.9,83.89,83.083
88.123,88.772,89.474,86.483,100.5,83.861,83.924
87.979,89.075,89.374,87.103,100.93,84.414,84.229
88.323,89.295,89.674,87.556,100.77,84.56,84.642
88.466,89.9,89.707,87.961,100.6,84.997,84.657
88.924,90.368,90.341,88.462,100.37,84.909,85.422
89.926,91.194,91.041,89.13,100.63,85.608,86.645
90.097,91.331,91.308,89.512,100.67,85.637,86.95
90.498,91.772,91.508,89.702,101.1,86.22,87.47
